index	name	R	G	B
1	Dark Skin	94	28	13
2	Light Skin	241	149	108
3	Bolu Sky	97	119	171
4	Foliage	90	103	39
5	Blue Flower	164	131	196
6	Bluish Green	140	253	153
7	Orage	255	116	21
8	Purplish Blue	7	47	122
9	Moderate Red	222	29	42
10	Purple	69	0	68
11	Yellowe Green	187	255	19
12	Orange Yellow	255	142	0
13	Blue	0	0	142
14	Green	64	173	38
15	Red	203	0	0
16	Yellow	255	217	0
17	Magenta	207	3	124
18	Cyan	0	148	189
19	White (.05) *	255	255	255
20	Neutral 8 (.23) *	249	249	249
21	Neutral 6.5 (.44) *	180	180	180
22	Neutral 5 (.70) *	117	117	117
23	Neutral 3.5 (1.05) *	53	53	53
24	Black (1.5) *	0	0	0
